source_site,city,district,title,listing_url,date_collected,price,room_count,listing_id,neighborhood,net_m2,gross_m2,building_age,listing_update_date,floor,total_floors,heating_type,usage_status,furnished_status,bathroom_count
Emlakjet,istanbul,kadikoy,"Mega Emlak İstanbul Kadıköy Suadiye Mahallesi 3+2 Oda Kiralık Daire 185,000 TL #19112208",https://www.emlakjet.com/ilan/suadiye-sahilde-terasli-dubleks-daire-19112208,2026-06-07 23:06:00,185000,3+2,19112208,Suadiye,180,220,5-10,09 Mayıs 2026,8.Kat,8,Kombi Doğalgaz,Kiracı Oturuyor Yapı Durumu İkinci El,Boş,3
Emlakjet,istanbul,kadikoy,"Remax Goal İstanbul Kadıköy Caferağa Mahallesi 1+1 Oda Kiralık Daire 60,000 TL #19452118",https://www.emlakjet.com/ilan/kadikoy-moda-da-sifir-11-kiralik-daire-45m-19452118,2026-06-07 23:06:04,60000,1+1,19452118,Caferağa,45,55,0 (Yeni),07 Haziran 2026,3.Kat,5,Kombi Doğalgaz,Boş,Boş,1
Emlakjet,istanbul,kadikoy,"İstanbul Elit Gayrimenkul İstanbul Kadıköy Dumlupınar Mahallesi 1+1 Oda Kiralık Daire 43,000 TL #19451978",https://www.emlakjet.com/ilan/emlak-konut-16-etap-11-19451978,2026-06-07 23:06:07,43000,1+1,19451978,Dumlupınar,42,52,1,07 Haziran 2026,15.Kat,23,Merkezi (Pay Ölçer),,,1
Emlakjet,istanbul,kadikoy,"İstanbul Elit Gayrimenkul İstanbul Kadıköy Dumlupınar Mahallesi 2+1 Oda Kiralık Daire 55,000 TL #19451947",https://www.emlakjet.com/ilan/fikirtepe-emlak-konutta-16-etap-21-19451947,2026-06-07 23:06:10,55000,2+1,19451947,Dumlupınar,65,72,0 (Yeni),07 Haziran 2026,9.Kat,23,Merkezi (Pay Ölçer),,,1
Emlakjet,istanbul,kadikoy,"Nova Cadde Emlak İstanbul Kadıköy Bostancı Mahallesi 2+1 Oda Kiralık Daire 76,500 TL #19451624",https://www.emlakjet.com/ilan/bostanci-yeni-binada-genis-mutfak-balkonlu-21-kiralik-daire-19451624,2026-06-07 23:06:13,76500,2+1,19451624,Bostancı,75,100,0 (Yeni),07 Haziran 2026,1.Kat,11,Merkezi (Pay Ölçer),Boş,Boş,1
Emlakjet,istanbul,kadikoy,"Mnc Gayrimenkul İstanbul Kadıköy Feneryolu Mahallesi 2+1 Oda Kiralık Daire 55,000 TL #19451027",https://www.emlakjet.com/ilan/feneryolu-nda-yeni-binada-park-yakini-21-kiralik-daire-19451027,2026-06-07 23:06:17,55000,2+1,19451027,Feneryolu,48,58,0 (Yeni),07 Haziran 2026,Düz Giriş (Zemin),11,Kombi Doğalgaz,Boş,Boş,1
Emlakjet,istanbul,kadikoy,"Erciyes Emlak İstanbul Kadıköy Kozyatağı Mahallesi 2+1 Oda Kiralık Daire 48,000 TL #19449292",https://www.emlakjet.com/ilan/erciyes-den-kozyatagi-belediye-bloklarinda-21-masrafsiz-kiralik-19449292,2026-06-07 23:06:20,48000,2+1,19449292,Kozyatağı,80,100,21 Ve Üzeri,06 Haziran 2026,2.Kat,7,Merkezi Doğalgaz,Boş,Boş,1
Emlakjet,istanbul,kadikoy,"Ekotaş Emlak Gayrimenkul İstanbul Kadıköy 19 Mayıs Mahallesi 3+1 Oda Kiralık Daire 87,000 TL #19448663",https://www.emlakjet.com/ilan/kaptan-arif-te-150m-net-31-kiralik-daire-19448663,2026-06-07 23:06:23,87000,3+1,19448663,19 Mayıs,150,165,21 Ve Üzeri,06 Haziran 2026,6.Kat,7,Merkezi Doğalgaz,Boş,Boş,2
Emlakjet,istanbul,kadikoy,"Gri Gayrimenkul İstanbul Kadıköy Erenköy Mahallesi 3+1 Oda Kiralık Daire 115,000 TL #19448031",https://www.emlakjet.com/ilan/erenkoy-divan-yani-bagdat-caddesi-yakininda-luks-31-kiralik-19448031,2026-06-07 23:06:27,115000,3+1,19448031,Erenköy,95,120,21 Ve Üzeri,06 Haziran 2026,9.Kat,9,Kombi Doğalgaz,,,2
Emlakjet,istanbul,kadikoy,"Sahibinden İstanbul Kadıköy Bostancı Mahallesi 2+1 Oda Kiralık Daire 110,000 TL #19446694",https://www.emlakjet.com/ilan/sadece-is-yerine-aracisiz-sahibinden-1-ci-kat-sifir-bina-19446694,2026-06-07 23:06:32,110000,2+1,19446694,Bostancı,80,90,0 (Yeni),06 Haziran 2026,Kot 1 (-1).Kat,3,Kombi Doğalgaz,,,1
