source_site,city,district,title,listing_url,image_url,date_collected,price,room_count,listing_id,neighborhood,net_m2,gross_m2,building_age,listing_update_date,floor,total_floors,heating_type,usage_status,furnished_status,bathroom_count
Emlakjet,istanbul,kadikoy,"Munay Gayri̇menkul İstanbul Kadıköy Caferağa Mahallesi 1+1 Oda Kiralık Daire 63,000 TL #19464438",https://www.emlakjet.com/ilan/tulay-ozkok-ten-oturuma-hazir-genis-sifir-11-kiralik-daire-19464438,https://imaj.emlakjet.com/resize/480/360/listing/19464438/C0143D68C6B6E7B54D0CEA2024D01AA719464438.jpg,2026-06-11 00:44:14,63000,1+1,19464438,Caferağa,53,63,0 (Yeni),10 Haziran 2026,3.Kat,6,Kombi Doğalgaz,,,1
Emlakjet,istanbul,kadikoy,"Realty World Czm Gayri̇menkul İstanbul Kadıköy Kozyatağı Mahallesi 2+1 Oda Kiralık Daire 70,000 TL #19463056",https://www.emlakjet.com/ilan/senesenevler-de-sifir-3-kat-85m2-balkonlu-panjurlu-kiralik-21-19463056,https://imaj.emlakjet.com/resize/480/360/listing/19463056/83B5009E040969EE7B60362AD742657319463056.jpeg,2026-06-11 00:44:18,70000,2+1,19463056,Kozyatağı,65,85,0 (Yeni),10 Haziran 2026,3.Kat,10,Kombi Doğalgaz,Boş Yapı Durumu Sıfır Yapı Tipi Betonarme,Boş Aidat 1 TL Depozito 140000 TL,1
Emlakjet,istanbul,kadikoy,"Mega Emlak İstanbul Kadıköy Fenerbahçe Mahallesi 4+1 Oda Kiralık Daire 97,000 TL #19461389",https://www.emlakjet.com/ilan/mega-dan-fenerbahce-de-210-m2-41-katta-tek-deniz-manzarali-eb-banyolu-ferah-kiralik-19461389,https://imaj.emlakjet.com/resize/480/360/listing/19461389/9F17C81FA2A7BC8ADE91C5C7E671411419461389.jpg,2026-06-11 00:44:21,97000,4+1,19461389,Fenerbahçe,180,210,21 Ve Üzeri,10 Haziran 2026,8.Kat,10,Merkezi Doğalgaz,Boş Yapı Durumu İkinci El Yapı Tipi Betonarme,Boş,2
Emlakjet,istanbul,kadikoy,"Turyap Göztepe İstanbul Kadıköy Sahrayıcedit Mahallesi 2+1 Oda Kiralık Daire 68,000 TL #19461288",https://www.emlakjet.com/ilan/turyap-goztepe-den-sahrayicedit-de-21-full-esyali-kiralik-daire-19461288,https://imaj.emlakjet.com/resize/480/360/listing/19461288/67640897F2F0500A7CF1C3E1FBF4B2B719461288.jpg,2026-06-11 00:44:24,68000,2+1,19461288,Sahrayıcedit,65,85,5-10,10 Haziran 2026,6.Kat,7,Kombi Doğalgaz,Boş,Eşyalı,1
Emlakjet,istanbul,kadikoy,"Atölye Gayri̇menkul İstanbul Kadıköy Erenköy Mahallesi 4+1 Oda Kiralık Daire 77,000 TL #19460477",https://www.emlakjet.com/ilan/atolyeden-erenkoy-minibuste-150m2-net-41-kiralik-bos-daire-19460477,https://imaj.emlakjet.com/resize/480/360/listing/19460477/BB7F35B35EC4D88F32809451EFF579B319460477.jpg,2026-06-11 00:44:27,77000,4+1,19460477,Erenköy,150,180,21 Ve Üzeri,10 Haziran 2026,11.Kat,16,Merkezi Doğalgaz,Boş,Boş,2
Emlakjet,istanbul,kadikoy,"Task Yaşam Gayri̇menkul İstanbul Kadıköy Eğitim Mahallesi 2+1 Oda Kiralık Daire 78,500 TL #19460210",https://www.emlakjet.com/ilan/kadikoy-egitim-mh-metrobus-duragina-yakin-kiralik-21-daire-19460210,https://imaj.emlakjet.com/resize/480/360/listing/19460210/071F313F20F447A7506B577B0C0E358419460210.jpg,2026-06-11 00:44:31,78500,2+1,19460210,Eğitim,80,100,5-10,09 Haziran 2026,8.Kat,9,Kombi Doğalgaz,Boş,Boş,1
Emlakjet,istanbul,kadikoy,"Mega Emlak İstanbul Kadıköy Fenerbahçe Mahallesi 3+1 Oda Kiralık Daire 175,000 TL #19459580",https://www.emlakjet.com/ilan/kalamis-marina-karsisinda-genis-terasli-konuta-ofise-31-19459580,https://imaj.emlakjet.com/resize/480/360/listing/19459580/15D99C1FDAD7F7FE17FE83EF95C0F49219459580.jpg,2026-06-11 00:44:34,175000,3+1,19459580,Fenerbahçe,270,330,21 Ve Üzeri,09 Haziran 2026,3.Kat,3,Merkezi Doğalgaz,Boş Yapı Durumu İkinci El,Boş,1
Emlakjet,istanbul,kadikoy,"Remax Sonuç İstanbul Kadıköy Merdivenköy Mahallesi 2+1 Oda Kiralık Daire 70,000 TL #19457054",https://www.emlakjet.com/ilan/goztepe-merdivenkoy-hosgoru-sokakta-21-kiralik-daire-19457054,https://imaj.emlakjet.com/resize/480/360/listing/19457054/6D6F9101EA8EE90B09C167DF69D3C2BF19457054.jpg,2026-06-11 00:44:37,70000,2+1,19457054,Merdivenköy,60,80,4,08 Haziran 2026,5.Kat,6,Merkezi (Pay Ölçer),,,1
Emlakjet,istanbul,kadikoy,"Promes Gayri̇menkul Ve Danişmanlik Aş İstanbul Kadıköy Erenköy Mahallesi 3+1 Oda Kiralık Daire 105,000 TL #19455001",https://www.emlakjet.com/ilan/erenkoy-minibus-caddesi-uzerinde-yeni-binada-ferah-full-esyali-19455001,https://imaj.emlakjet.com/resize/480/360/listing/19455001/C576D203FC26288CB8F64B3FB488603A19455001.jpg,2026-06-11 00:44:40,105000,3+1,19455001,Erenköy,110,115,5-10,08 Haziran 2026,2.Kat,10,Kombi Doğalgaz,,,1
Emlakjet,istanbul,kadikoy,"İstanbul Elit Gayrimenkul İstanbul Kadıköy Dumlupınar Mahallesi 3+1 Oda Kiralık Daire 75,000 TL #19453530",https://www.emlakjet.com/ilan/15-etapta-yuksek-kat-millet-bahcesi-manzarali-kiralik-31-daire-19453530,https://imaj.emlakjet.com/resize/480/360/listing/19453530/B6BFC2FDE1482BE77327A13E5964A69619453530.jpg,2026-06-11 00:44:43,75000,3+1,19453530,Dumlupınar,96,120,0 (Yeni),09 Haziran 2026,17.Kat,23,Merkezi (Pay Ölçer),Boş,Boş,2
Emlakjet,istanbul,kadikoy,"Ji̇r Gayri̇menkul Emlak Danişmanliği İstanbul Kadıköy Merdivenköy Mahallesi 2+1 Oda Kiralık Daire 50,000 TL #19453155",https://www.emlakjet.com/ilan/goztepe-de-hastaneye-ve-metroya-yakin-genis-balkonlu-ferah-21-19453155,https://imaj.emlakjet.com/resize/480/360/listing/19453155/F66A4A574B3737E820B2D0CF18706DDC19453155.jpg,2026-06-11 00:44:46,50000,2+1,19453155,Merdivenköy,85,110,21 Ve Üzeri,08 Haziran 2026,Yüksek Giriş,4,Merkezi (Pay Ölçer),Boş,Boş,1
Emlakjet,istanbul,kadikoy,"Remax Goal İstanbul Kadıköy Caferağa Mahallesi 1+1 Oda Kiralık Daire 60,000 TL #19452118",https://www.emlakjet.com/ilan/kadikoy-moda-da-sifir-11-kiralik-daire-45m-19452118,https://imaj.emlakjet.com/resize/480/360/listing/19452118/B36F358B3B858AA633748E17B397FD0419452118.jpg,2026-06-11 00:44:49,60000,1+1,19452118,Caferağa,45,55,0 (Yeni),07 Haziran 2026,3.Kat,5,Kombi Doğalgaz,Boş,Boş,1
Emlakjet,istanbul,kadikoy,"İstanbul Elit Gayrimenkul İstanbul Kadıköy Dumlupınar Mahallesi 1+1 Oda Kiralık Daire 42,000 TL #19451978",https://www.emlakjet.com/ilan/emlak-konut-16-etap-11-19451978,https://imaj.emlakjet.com/resize/480/360/listing/19451978/D037652562A815E584803764E8720EC819451978.jpg,2026-06-11 00:44:54,42000,1+1,19451978,Dumlupınar,42,52,1,08 Haziran 2026,15.Kat,23,Merkezi (Pay Ölçer),,,1
Emlakjet,istanbul,kadikoy,"İstanbul Elit Gayrimenkul İstanbul Kadıköy Dumlupınar Mahallesi 2+1 Oda Kiralık Daire 55,000 TL #19451947",https://www.emlakjet.com/ilan/fikirtepe-emlak-konutta-16-etap-21-19451947,https://imaj.emlakjet.com/resize/480/360/listing/19451947/CDF3F073642381DC93A9CF4F382EC2B319451947.jpeg,2026-06-11 00:44:56,55000,2+1,19451947,Dumlupınar,65,72,0 (Yeni),07 Haziran 2026,9.Kat,23,Merkezi (Pay Ölçer),,,1
Emlakjet,istanbul,kadikoy,"Nova Cadde Emlak İstanbul Kadıköy Bostancı Mahallesi 2+1 Oda Kiralık Daire 76,500 TL #19451624",https://www.emlakjet.com/ilan/bostanci-yeni-binada-genis-mutfak-balkonlu-21-kiralik-daire-19451624,https://imaj.emlakjet.com/resize/480/360/listing/19451624/9F0492A646B100B0A9B287DC40245F1619451624.jpg,2026-06-11 00:44:59,76500,2+1,19451624,Bostancı,75,100,0 (Yeni),07 Haziran 2026,1.Kat,11,Merkezi (Pay Ölçer),Boş,Boş,1
Emlakjet,istanbul,kadikoy,"Mnc Gayrimenkul İstanbul Kadıköy Feneryolu Mahallesi 2+1 Oda Kiralık Daire 55,000 TL #19451027",https://www.emlakjet.com/ilan/feneryolu-nda-yeni-binada-park-yakini-21-kiralik-daire-19451027,https://imaj.emlakjet.com/resize/480/360/listing/19451027/6150C91509EE32AEAC9C01FAD45621F019451027.jpg,2026-06-11 00:45:03,55000,2+1,19451027,Feneryolu,48,58,0 (Yeni),08 Haziran 2026,Düz Giriş (Zemin),11,Kombi Doğalgaz,Boş,Boş,1
